@relation training_data_20190313_including_non_bisulfite

@attribute pos1_A numeric
@attribute pos1_C numeric
@attribute pos1_T numeric
@attribute pos1_G numeric
@attribute pos2_A numeric
@attribute pos2_C numeric
@attribute pos2_T numeric
@attribute pos2_G numeric
@attribute pos3_A numeric
@attribute pos3_C numeric
@attribute pos3_T numeric
@attribute pos3_G numeric
@attribute pos4_A numeric
@attribute pos4_C numeric
@attribute pos4_T numeric
@attribute pos4_G numeric
@attribute pos8_A numeric
@attribute pos8_C numeric
@attribute pos8_T numeric
@attribute pos8_G numeric
@attribute pos9_A numeric
@attribute pos9_C numeric
@attribute pos9_T numeric
@attribute pos9_G numeric
@attribute pos10_A numeric
@attribute pos10_C numeric
@attribute pos10_T numeric
@attribute pos10_G numeric
@attribute pos11_A numeric
@attribute pos11_C numeric
@attribute pos11_T numeric
@attribute pos11_G numeric
@attribute pos12_A numeric
@attribute pos12_C numeric
@attribute pos12_T numeric
@attribute pos12_G numeric
@attribute pos20_A numeric
@attribute pos20_C numeric
@attribute pos20_T numeric
@attribute pos20_G numeric
@attribute pos30_A numeric
@attribute pos30_C numeric
@attribute pos30_T numeric
@attribute pos30_G numeric
@attribute method {Swift,6N_PBAT,6N_sc,9N_sc,WGBS,RRBS,scNOME,UMI_RRBS,9N_PBAT,Amplicon,NOMEseq,Truseq,RNA,ChIP,ATAC,WGS}

@data
39,2,41,16,36,0,42,20,32,0,42,24,32,0,44,22,32,1,44,21,32,1,45,20,31,1,46,20,30,1,47,20,30,1,48,20,29,0,48,20,30,1,49,19,Swift
29,43,8,18,33,48,10,7,29,47,9,12,33,43,9,13,53,23,22,1,52,23,23,0,55,22,21,1,52,24,22,0,52,24,22,0,50,23,23,1,48,25,25,1,6N_PBAT
17,31,17,32,18,31,21,28,18,34,18,28,18,31,18,31,24,15,45,15,48,23,11,17,22,46,12,18,45,27,11,14,13,46,14,25,18,18,42,19,24,25,18,30,6N_sc
27,30,18,24,29,31,19,18,27,33,20,18,30,30,17,21,38,18,31,10,47,20,21,10,36,30,21,10,46,23,19,10,34,30,21,12,33,21,34,10,35,23,26,13,9N_sc
23,31,18,26,25,32,21,20,23,35,19,21,24,32,17,25,29,16,41,11,51,20,15,12,28,43,15,12,49,24,13,12,22,42,16,17,24,19,42,13,29,26,23,21,9N_sc
37,1,43,17,37,0,41,20,36,0,42,20,35,0,43,20,36,0,43,20,35,0,43,19,35,0,43,20,35,0,43,20,35,0,42,20,35,0,43,20,35,0,43,20,WGBS
10,45,32,9,11,8,10,68,11,8,10,68,22,9,30,37,20,9,44,25,26,9,40,23,23,8,35,31,21,10,38,29,27,8,38,24,29,8,38,22,22,9,43,24,RRBS
0,46,50,2,0,0,0,97,1,0,1,96,35,2,23,38,18,2,47,29,22,1,43,32,20,1,45,32,19,2,44,32,19,1,47,30,21,2,47,29,21,3,43,30,RRBS
23,29,23,23,25,30,24,19,23,32,23,20,26,28,20,23,35,16,34,12,46,19,21,12,35,30,20,13,44,21,21,12,31,30,22,15,32,17,36,13,34,22,27,16,scNOME
18,33,18,30,19,31,22,26,21,33,19,26,20,32,18,29,27,15,42,14,47,23,13,15,24,43,13,18,45,27,12,14,16,43,17,22,20,18,44,16,25,25,22,26,6N_sc
