@relation training_data_summary_sorted

@attribute pos1_A numeric
@attribute pos1_C numeric
@attribute pos1_T numeric
@attribute pos1_G numeric
@attribute pos2_A numeric
@attribute pos2_C numeric
@attribute pos2_T numeric
@attribute pos2_G numeric
@attribute pos3_A numeric
@attribute pos3_C numeric
@attribute pos3_T numeric
@attribute pos3_G numeric
@attribute pos4_A numeric
@attribute pos4_C numeric
@attribute pos4_T numeric
@attribute pos4_G numeric
@attribute pos8_A numeric
@attribute pos8_C numeric
@attribute pos8_T numeric
@attribute pos8_G numeric
@attribute pos9_A numeric
@attribute pos9_C numeric
@attribute pos9_T numeric
@attribute pos9_G numeric
@attribute pos10_A numeric
@attribute pos10_C numeric
@attribute pos10_T numeric
@attribute pos10_G numeric
@attribute pos11_A numeric
@attribute pos11_C numeric
@attribute pos11_T numeric
@attribute pos11_G numeric
@attribute pos12_A numeric
@attribute pos12_C numeric
@attribute pos12_T numeric
@attribute pos12_G numeric
@attribute pos20_A numeric
@attribute pos20_C numeric
@attribute pos20_T numeric
@attribute pos20_G numeric
@attribute pos30_A numeric
@attribute pos30_C numeric
@attribute pos30_T numeric
@attribute pos30_G numeric
@attribute method {NOMEseq,9N_PBAT,6N_PBAT,6N_sc,UMI_RRBS,Swift,WGBS,Truseq,Amplicon,RRBS,scNOME}

@data
30,6,40,22,31,4,39,24,31,4,40,23,31,4,39,25,31,3,41,23,30,4,41,23,31,3,40,24,31,3,40,24,31,3,40,24,30,3,41,23,30,3,42,23,NOMEseq
30,6,41,22,31,4,40,23,31,4,41,23,30,4,40,24,31,3,42,23,30,3,42,23,31,3,41,23,30,3,41,23,30,3,42,23,30,3,42,22,30,3,42,23,NOMEseq
26,6,33,33,41,4,32,22,27,4,46,22,27,17,32,22,41,3,32,22,27,4,33,34,41,3,32,21,27,3,32,36,27,17,33,22,27,16,33,21,27,2,33,35,NOMEseq
30,6,41,20,33,4,38,22,33,4,39,23,31,4,39,24,32,4,41,22,31,4,41,22,32,3,40,23,31,3,40,23,31,4,40,23,31,4,41,22,31,3,41,23,NOMEseq
27,5,38,29,38,3,37,20,28,3,47,20,27,13,37,21,38,3,37,20,28,3,38,30,38,3,37,20,28,3,37,30,28,13,38,20,27,13,38,20,27,2,38,30,NOMEseq
25,6,35,32,39,4,34,21,26,4,48,20,26,17,34,22,39,3,35,20,26,3,36,33,39,3,35,21,26,3,35,34,26,16,35,21,26,16,36,20,26,3,36,33,NOMEseq
33,6,42,16,33,3,39,23,33,3,38,23,32,3,40,23,31,3,43,21,30,3,43,22,31,3,41,22,31,3,41,22,32,3,41,22,31,3,42,22,31,3,42,22,NOMEseq
32,6,41,19,33,4,37,24,32,4,38,24,31,4,39,24,32,3,41,22,31,3,41,23,31,3,41,23,31,3,40,23,31,3,41,23,31,3,41,23,31,3,41,23,NOMEseq
37,24,26,11,39,23,28,8,41,25,25,6,41,22,28,7,37,30,24,7,32,32,27,7,47,19,24,8,47,19,25,7,45,19,27,6,43,21,27,7,42,22,27,6,9N_PBAT
40,24,27,7,42,22,29,5,44,24,26,4,45,21,28,4,41,29,25,3,34,32,28,4,51,19,25,3,51,18,26,3,50,18,27,3,46,20,29,3,46,20,30,2,9N_PBAT
